taxon_oid	Name	IMG_Phylum	IMG_Class	IMG_Order	IMG_Family	IMG_Genus	Institution	Host	Fraction	HostFraction	gene-genome	NumfliC	clust1	clust2	clust3	clust4	NumOperons	genesInOperon	T3SS	T6SS	coronatine
2643221657	Nocardioides_sp._Root1257	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2644323901-2643221657	1	0	1	0	0	0	0	0	0	0
2690315618	Pantoea_sp._YR512	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	ORNL	Populus	Root	Populus_Root	2690393131-2690315618	2	1	0	0	0	0	0	0	0	0
2521172640	Pseudomonas_sp._LAMO17WK12:I12	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Cornell	Maize	Root	Maize_Root	2521752505-2521172640	1	1	0	0	0	0	0	1	0	1
2609459765	Tardiphaga_sp._OK246	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Tardiphaga	ORNL	Populus	Root	Populus_Root	2609939162-2609459765	2	0	0	1	0	0	0	0	0	0
2518645599	Pseudomonas_sp._URIL14HWK12:I5	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Cornell	Maize	Root	Maize_Root	2518983847-2518645599	1	1	0	0	0	0	0	1	0	1
2523533507	Pseudomonas_sp._URMO17WK12:I12	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Cornell	Maize	Root	Maize_Root	2523570770-2523533507	1	1	0	0	0	0	0	0	0	0
2510065054	Pseudomonas_brassicacearum_51MFCVI2.1	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	UNC	Arabidopsis	Root	Arabidopsis_Root	2510289374-2510065054	1	1	0	0	0	0	0	1	1	1
2519899642	Pseudomonas_sp._45MFCol3.1	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	UNC	Arabidopsis	Root	Arabidopsis_Root	2520476123-2519899642	1	1	0	0	0	0	0	1	0	1
2643221817	Brevundimonas_sp._Leaf363	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2645089169-2643221817	3	0	0	1	0	1	2	0	0	0
2643221901	Xanthomonas_sp._Leaf148	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2645459332-2643221901	1	1	0	0	0	0	0	0	1	0
2595698237	Methylobacterium_sp._UNCCL125	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	UNC	Arabidopsis	Root	Arabidopsis_Root	2596371211-2595698237	1	0	0	1	0	0	0	0	0	0
2585427527	Rhizobium_leguminosarum_YR374	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	ORNL	Populus	Root	Populus_Root	2585533557-2585427527	4	0	0	1	0	1	3	0	1	0
2690315629	Paenibacillus_sp._OV219	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	ORNL	Populus	Root	Populus_Root	2690448922-2690315629	1	0	1	0	0	0	0	0	0	0
2643221814	Brevibacillus_sp._Leaf182	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2645075160-2643221814	1	0	1	0	0	0	0	0	0	0
2639762527	Bacillus_sp._CL115	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	UNC	Arabidopsis	Root	Arabidopsis_Root	2639860579-2639762527	4	0	1	0	0	1	3	0	0	0
2643221932	Modestobacter_sp._Leaf380	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Modestobacter	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2645580964-2643221932	1	0	1	0	0	0	0	0	0	0
2643221828	Methylophilus_sp._Leaf416	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylophilus	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2645134421-2643221828	1	1	0	0	0	0	0	0	0	0
2643221648	Rhizobacter_sp._Root1238	Proteobacteria	Betaproteobacteria	Burkholderiales	unclassified	Rhizobacter	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2644273637-2643221648	2	1	0	0	0	1	2	1	1	1
2643221502	Pseudomonas_sp._395MF	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	UNC	Arabidopsis	Root	Arabidopsis_Root	2643583318-2643221502	1	1	0	0	0	0	0	0	1	0
2643221758	Sphingomonas_sp._Leaf25	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2644833605-2643221758	1	1	0	0	0	0	0	0	0	0
2643221907	Acidovorax_sp._Leaf160	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2645479099-2643221907	2	1	0	0	0	1	2	0	0	0
2643221574	Brevundimonas_sp._Root608	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2643882935-2643221574	3	0	0	1	0	1	2	0	0	0
2687453683	Paenibacillus_sp._OK003	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	ORNL	Populus	Root	Populus_Root	2689711023-2687453683	1	0	1	0	0	0	0	0	0	0
2643221545	Caulobacter_sp._Root1455	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2643747428-2643221545	4	0	0	1	0	1	2	0	0	0
2609459766	Microbacterium_sp._CF332	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	ORNL	Populus	Root	Populus_Root	2609942204-2609459766	1	0	1	0	0	0	0	0	0	0
2643221605	Sphingomonas_sp._Root710	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2644038197-2643221605	2	1	0	0	0	1	2	0	0	0
2690315620	Psychrobacillus_sp._OK032	Firmicutes	Bacilli	Bacillales	Bacillaceae	Psychrobacillus	ORNL	Populus	Root	Populus_Root	2690402571-2690315620	1	0	1	0	0	0	0	0	0	0
2643221565	Pseudomonas_sp._Root562	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2643841820-2643221565	1	1	0	0	0	0	0	0	1	0
2639763199	Leifsonia_sp._467MF	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	UNC	Arabidopsis	Root	Arabidopsis_Root	2642412191-2639763199	1	0	1	0	0	0	0	0	0	0
2643221776	Duganella_sp._Leaf61	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2644910249-2643221776	4	1	0	0	0	1	3	0	1	0
2585427593	Rhizobium_tropici_CF286	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	ORNL	Populus	Root	Populus_Root	2585837593-2585427593	7	0	0	1	0	1	3	0	1	0
2609459710	Pseudomonas_sp._OK272	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	ORNL	Populus	Root	Populus_Root	2609732831-2609459710	2	1	0	0	0	0	0	0	0	0
2643221779	Sphingomonas_sp._Leaf67	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2644921682-2643221779	1	1	0	0	0	0	0	0	0	0
2518645594	Pseudomonas_sp._URIL14HWK12:I2	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Cornell	Maize	Root	Maize_Root	2518961007-2518645594	1	1	0	0	0	0	0	0	0	0
2643221744	Sphingomonas_sp._Leaf10	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2644775438-2643221744	1	1	0	0	0	0	0	0	0	0
2643221492	Variovorax_sp._278MFTsu5.1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	UNC	Arabidopsis	Root	Arabidopsis_Root	2643529096-2643221492	1	1	0	0	0	0	0	1	1	1
2585428125	Agrobacterium_rhizogenes_CF262	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	ORNL	Populus	Root	Populus_Root	2587979134-2585428125	5	0	0	1	0	1	3	0	0	0
2522125150	Bacillus_sp._171095_106	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	UNC	Arabidopsis	Root	Arabidopsis_Root	2522492129-2522125150	2	0	1	0	0	0	0	0	0	0
2643221783	Stenotrophomonas_sp._Leaf70	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2644936110-2643221783	2	1	0	0	0	1	2	0	0	0
2643221786	Sphingomonas_sp._Leaf242	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2644950088-2643221786	2	1	0	1	0	0	0	0	1	0
2639762621	Bacillus_sp._UNCCL13	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	UNC	Arabidopsis	Root	Arabidopsis_Root	2640248039-2639762621	1	0	1	0	0	0	0	0	0	0
2643221627	Mesorhizobium_sp._Root102	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2644153148-2643221627	2	0	0	1	0	1	2	0	0	0
2563366719	Curtobacterium_sp._UNCCL17	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	UNC	Arabidopsis	Root	Arabidopsis_Root	2563777298-2563366719	1	0	1	0	0	0	0	0	0	0
2687453689	Novosphingobium_sp._CF614	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	ORNL	Populus	Root	Populus_Root	2689747024-2687453689	2	1	0	0	0	0	0	0	1	0
2643221592	Rhizobacter_sp._Root16D2	Proteobacteria	Betaproteobacteria	Burkholderiales	unclassified	Rhizobacter	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2643966943-2643221592	2	1	0	0	0	1	2	1	1	1
2556921015	Pseudomonas_umsongensis_UNC430CL58Col	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	UNC	Arabidopsis	Root	Arabidopsis_Root	2556985414-2556921015	1	1	0	0	0	0	0	0	0	0
2643221943	Methylobacterium_sp._Leaf465	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2645634958-2643221943	1	0	0	1	0	0	0	0	0	0
2523231083	Pseudomonas_sp._URIL14HWK12:I4	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Cornell	Maize	Root	Maize_Root	2523520278-2523231083	1	1	0	0	0	0	0	1	0	1
2643221798	Methylobacterium_sp._Leaf100	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2645007312-2643221798	1	0	0	1	0	0	0	0	0	0
2643221623	Aminobacter_sp._Root100	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Aminobacter	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2644129480-2643221623	7	0	0	1	0	2	6	0	0	0
2609459737	Collimonas_sp._OK607	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Collimonas	ORNL	Populus	Root	Populus_Root	2609815279-2609459737	1	1	0	0	0	0	0	0	0	0
2563366513	Paenibacillus_sp._UNCCL52	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	UNC	Arabidopsis	Root	Arabidopsis_Root	2563425704-2563366513	1	0	1	0	0	0	0	0	0	0
2684623002	Paenibacillus_sp._OK060	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	ORNL	Populus	Root	Populus_Root	2686381979-2684623002	2	0	1	0	0	0	0	0	0	0
2593339197	Paenibacillus_sp._UNC499MF	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	UNC	Arabidopsis	Root	Arabidopsis_Root	2595313693-2593339197	2	0	1	0	0	0	0	0	0	0
2606217775	Methylobacterium_sp._UNCCL136	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	UNC	Arabidopsis	Root	Arabidopsis_Root	2608531037-2606217775	1	0	0	1	0	0	0	0	0	0
2643221616	Leifsonia_sp._Root227	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2644097467-2643221616	1	0	1	0	0	0	0	0	0	0
2690315633	Pseudoxanthomonas_sp._GM95	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	ORNL	Populus	Root	Populus_Root	2690461557-2690315633	1	1	0	0	0	0	0	0	0	0
2585428094	Herbiconiux_sp._YR403	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Herbiconiux	ORNL	Populus	Root	Populus_Root	2587862459-2585428094	1	0	1	0	0	0	0	0	0	0
2609459743	Cupriavidus_sp._OV038	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	ORNL	Populus	Root	Populus_Root	2609843415-2609459743	1	1	0	0	0	0	0	1	0	1
2643221634	Rhizobium_sp._Root1203	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2644190540-2643221634	3	0	0	1	0	1	2	0	0	0
2643221535	Paenibacillus_sp._CL91	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	UNC	Arabidopsis	Root	Arabidopsis_Root	2643702660-2643221535	1	0	1	0	0	0	0	0	0	0
2643221867	Pseudorhodoferax_sp._Leaf274	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Pseudorhodoferax	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2645305930-2643221867	3	1	0	0	0	1	2	0	0	0
2643221563	Sphingopyxis_sp._Root154	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2643835188-2643221563	1	1	0	0	0	0	0	0	0	0
2687453675	Psychrobacillus_sp._OK028	Firmicutes	Bacilli	Bacillales	Bacillaceae	Psychrobacillus	ORNL	Populus	Root	Populus_Root	2689660801-2687453675	1	0	1	0	0	0	0	0	0	0
2585428062	Methylibium_sp._CF059	Proteobacteria	Betaproteobacteria	Burkholderiales	unclassified	Methylibium	ORNL	Populus	Root	Populus_Root	2587756160-2585428062	2	1	0	0	0	1	2	1	1	1
2643221615	Nocardioides_sp._Root224	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2644094058-2643221615	1	0	1	0	0	0	0	0	0	0
2690315615	Massilia_sp._CF038	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	ORNL	Populus	Root	Populus_Root	2690376331-2690315615	3	1	0	0	0	1	3	0	0	0
2643221603	Noviherbaspirillum_sp._Root189	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2644026579-2643221603	1	1	0	0	0	0	0	0	1	0
2684623005	Massilia_sp._PDC64	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	ORNL	Populus	Root	Populus_Root	2686397894-2684623005	4	1	0	0	0	1	2	0	1	0
2690315625	Pseudoxanthomonas_sp._YR558	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	ORNL	Populus	Root	Populus_Root	2690433476-2690315625	4	1	0	0	0	2	4	0	0	0
2642422539	Bacillus_sp._CL95	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	UNC	Arabidopsis	Root	Arabidopsis_Root	2642597707-2642422539	3	0	1	0	0	1	2	0	0	0
2643221759	Sphingobium_sp._Leaf26	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2644837304-2643221759	1	1	0	0	0	0	0	0	0	0
2609459735	Collimonas_sp._OK242	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Collimonas	ORNL	Populus	Root	Populus_Root	2609803075-2609459735	1	1	0	0	0	0	0	0	0	0
2643221668	Ensifer_sp._Root423	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2644377447-2643221668	2	0	0	1	0	0	0	0	0	0
2643221719	Rhizobium_sp._Root274	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2644655939-2643221719	4	0	0	1	0	1	4	0	0	0
2526164762	Pseudomonas_sp._URIL14HWK12:I6	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Cornell	Maize	Root	Maize_Root	2527237432-2526164762	1	1	0	0	0	0	0	0	0	0
2609459738	Arthrobacter_sp._OV407	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	ORNL	Populus	Root	Populus_Root	2609820022-2609459738	1	0	1	0	0	0	0	0	0	0
2643221843	Paenibacillus_sp._Soil750	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	MPCologne	Arabidopsis	Soil	Arabidopsis_Soil	2645195869-2643221843	2	0	1	0	0	0	0	0	0	0
2643221874	Methylobacterium_sp._Leaf117	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2645337652-2643221874	1	0	0	1	0	0	0	0	0	0
2643221487	Bacillus_sp._212MF	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	UNC	Arabidopsis	Root	Arabidopsis_Root	2643500718-2643221487	1	0	1	0	0	0	0	0	0	0
2593339238	Luteibacter_sp._UNCMF366Tsu5.1	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter	UNC	Arabidopsis	Root	Arabidopsis_Root	2595447067-2593339238	2	1	0	0	0	1	2	0	0	0
2690315632	Sphingomonas_sp._OK281	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	ORNL	Populus	Root	Populus_Root	2690459975-2690315632	1	1	0	0	0	0	0	0	1	0
2582581294	Rhizobium_sp._CF394	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	ORNL	Populus	Root	Populus_Root	2585203626-2582581294	4	0	0	1	0	1	2	0	0	0
2690315657	Rhodanobacter_sp._OK091	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	ORNL	Populus	Root	Populus_Root	2690599012-2690315657	1	1	0	0	0	0	0	0	0	0
2643221896	Rhizobium_sp._Leaf321	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2645435256-2643221896	5	0	0	1	0	1	4	0	0	0
2690315647	Variovorax_sp._YR216	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	ORNL	Populus	Root	Populus_Root	2690537539-2690315647	1	1	0	0	0	0	0	0	0	0
2643221582	Rhizobium_sp._Root651	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2643921207-2643221582	4	0	0	1	0	1	3	0	0	0
2639762574	Dyella_sp._333MFSha	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	UNC	Arabidopsis	Root	Arabidopsis_Root	2640047202-2639762574	2	1	0	0	0	1	2	0	1	0
2639762634	Bacillus_sp._196MF	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	UNC	Arabidopsis	Root	Arabidopsis_Root	2640281653-2639762634	2	0	1	0	0	1	2	0	0	0
2590828861	Methylobacterium_sp._UNC378MF	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	UNC	Arabidopsis	Root	Arabidopsis_Root	2593332823-2590828861	1	0	0	1	0	0	0	0	0	0
