ASV Id,log2 (Fold Change),p value ,FDR adjusted q value,Contrast (which fractions are we comparing?),Kingdom,Phylum,Class,Order,Family,Genus,Cumulative relative abuncance in soil,Cumulative relative abuncance in root,Cumulative relative abuncance in shoot
ASV1034,6.070100063,1.20E-05,0.00010129,Root-Shoot,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,2.05E-05,0.000290468,2.44E-05
ASV1035,-2.352329285,0.17124777,0.340539207,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,NA,NA,0.000669938,7.36E-05,5.46E-05
ASV1038,3.701356262,0.036122313,0.108272405,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,0,0.000282007,4.21E-05
ASV1039,4.432165479,0.001404624,0.007264857,Root-Shoot,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus,0,0.000278177,2.14E-05
ASV104,1.333633696,0.02456469,0.080004051,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,0.000178124,0.002296149,0.000968284
ASV1040,4.101534162,0.003726873,0.01662337,Root-Shoot,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Pseudoflavitalea,0,0.0002903,2.33E-05
ASV1041,-1.457035144,0.226185478,0.410334373,Root-Shoot,Bacteria,Acidobacteria,Blastocatellia_(Subgroup_4),Blastocatellales,Blastocatellaceae,NA,0.000441519,6.58E-05,0.000168385
ASV1042,2.88199281,0.030126859,0.094190979,Root-Shoot,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,NA,0,0.000310776,5.34E-05
ASV1043,-0.829335296,0.444359091,0.629777426,Root-Shoot,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA,0.000569928,8.32E-05,0.000113535
ASV1044,-0.846700499,0.184037386,0.356858046,Root-Shoot,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,NA,NA,0.000329718,9.95E-05,0.000141175
ASV1045,-3.969475529,0.004385762,0.019067242,Root-Shoot,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,0.000356455,3.23E-05,0.000184118
ASV1046,-0.427922371,0.712536254,0.838067516,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Ellin6067,0.000551372,6.48E-05,9.15E-05
ASV1047,5.576090229,0.000135719,0.000914374,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,0,0.000290545,1.11E-06
ASV1048,1.107416069,0.328439959,0.52424266,Root-Shoot,Bacteria,Acidobacteria,Acidobacteriia,Subgroup_13,NA,NA,0.000490022,0.000100917,6.99E-05
ASV1049,-6.177286824,0.00085856,0.004707464,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,0.000389339,0.000100204,0.000117108
ASV105,-1.568813779,0.152181018,0.315016872,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.000554216,0.000559852,0.001174973
ASV1050,0.044038387,0.975825696,1,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Variovorax,1.80E-05,0.000147902,0.000196291
ASV1051,0.603161024,0.440878245,0.627115947,Root-Shoot,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,0.000237135,0.000202449,0.000109334
ASV1052,0.612969568,0.608293026,0.759890117,Root-Shoot,Bacteria,Chloroflexi,Dehalococcoidia,S085,NA,NA,0.000688628,4.21E-05,2.36E-05
ASV1053,0.254425388,0.779983251,0.883101485,Root-Shoot,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),NA,0.000334224,0.000137193,9.47E-05
ASV1054,0.987629283,0.472854193,0.65438773,Root-Shoot,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA,0.000668602,5.88E-05,3.08E-05
ASV1055,8.806803405,3.06E-07,3.29E-06,Root-Shoot,Bacteria,Actinobacteria,Actinobacteria,Glycomycetales,Glycomycetaceae,Glycomyces,4.32E-06,0.000244383,3.91E-06
ASV1056,-2.748861802,0.005144841,0.021833273,Root-Shoot,Bacteria,Acidobacteria,Blastocatellia_(Subgroup_4),Blastocatellales,Blastocatellaceae,NA,0.000528172,5.89E-05,0.000181068
ASV1057,-8.340056603,1.03E-08,1.34E-07,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Panacagrimonas,0,2.35E-06,0.000395062
ASV1058,3.982394905,0.003543009,0.015913436,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,0,0.000258867,2.27E-05
ASV1059,2.63089127,0.002554663,0.01214083,Root-Shoot,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,2.26E-05,0.000275775,4.76E-05
ASV1060,0.697488777,0.383771903,0.577211196,Root-Shoot,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,0.000187655,0.000215256,9.76E-05
ASV1061,-6.134032228,0.00036654,0.002223833,Root-Shoot,Bacteria,Cyanobacteria,Oxyphotobacteria,Leptolyngbyales,Leptolyngbyaceae,Leptolyngbya_Es-Yyy1000,0,2.39E-06,0.000389358
ASV1062,1.124670404,0.302485788,0.496105569,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,2.19E-05,0.000135487,0.000203808
ASV1063,5.573496028,2.38E-11,4.36E-10,Root-Shoot,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,NA,1.68E-06,0.000309546,3.51E-06
ASV1064,-2.007851673,0.002753767,0.012890931,Root-Shoot,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,0.000436254,5.77E-05,0.000170821
ASV1065,-4.429633322,0.002092228,0.010240019,Root-Shoot,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Lacibacter,0,1.03E-05,0.000400975
ASV1066,-2.515311978,0.004926226,0.021034432,Root-Shoot,Bacteria,Actinobacteria,Acidimicrobiia,IMCC26256,NA,NA,0.000562711,3.57E-05,0.000132429
ASV1067,29.1754013,7.66E-21,3.41E-19,Root-Shoot,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,NA,0,0.000211539,0
ASV1068,0.581333428,0.70237091,0.830359668,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pseudoduganella,0,0.000211166,0.000125082
ASV1069,-1.295369913,0.127481078,0.278937583,Root-Shoot,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,0.000502848,6.81E-05,0.00014177
ASV107,5.475162865,NA,NA,Root-Shoot,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Coleofasciculaceae,Microcoleus_PCC-7113,0,0.003328368,0.000897845
ASV1070,0.677805555,0.360854498,0.557276386,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,0.000431775,0.000100503,6.73E-05
ASV1071,2.111355502,0.000721214,0.00403598,Root-Shoot,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus,0,0.0002931,6.98E-05
ASV1072,3.841468141,2.05E-05,0.000165331,Root-Shoot,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,4.78E-05,0.000287458,2.47E-05
ASV1073,-1.483214299,0.09944276,0.232597224,Root-Shoot,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,0.000757472,6.82E-05,6.89E-05
ASV1074,-1.671434375,0.20627111,0.385887949,Root-Shoot,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,0.000394574,7.33E-05,9.85E-05
ASV1075,-3.263644045,NA,NA,Root-Shoot,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,0,0.000129037,0.000194337
ASV1076,0.581187126,0.385145608,0.578644647,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Nordella,0.000230715,0.000170114,0.000102998
ASV1077,8.689744738,9.74E-12,1.87E-10,Root-Shoot,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,0.000330443,0.000188088,8.24E-06
ASV1078,4.713816813,0.129584284,0.282095031,Root-Shoot,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,NA,0,0.00028381,2.28E-05
ASV1079,0.461650844,0.70605962,0.833493193,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,MND1,0.000954827,5.93E-05,3.54E-05
ASV108,-13.11262874,2.33E-26,1.57E-24,Root-Shoot,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,0.000191236,2.11E-05,0.003487478
ASV1080,-5.316357644,NA,NA,Root-Shoot,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,NA,0,2.05E-05,0.000392519
ASV1081,-1.218709279,0.167983842,0.336163355,Root-Shoot,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,0.000714984,6.77E-05,6.71E-05
ASV1082,-0.097732201,0.963333342,1,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,0,4.40E-05,1.64E-05
ASV1083,1.558650293,0.131330424,0.284282656,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,0.000163196,0.000194819,0.00010262
ASV1084,9.223162619,1.85E-08,2.34E-07,Root-Shoot,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,mle1-27,NA,0,0.000313652,5.16E-06
ASV1085,-12.63459496,NA,NA,Root-Shoot,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_Incertae_Sedis,Unknown_Family,Leptolyngbya_EcFYyyy-00,0,4.66E-06,0.000336484
ASV1086,5.300107529,1.31E-06,1.29E-05,Root-Shoot,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,NA,0,0.000353668,9.98E-06
ASV1087,-0.885714711,0.456172346,0.639559645,Root-Shoot,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA,0.0004986,9.26E-05,9.25E-05
ASV1088,-2.835784684,0.000370737,0.002245332,Root-Shoot,Bacteria,Actinobacteria,Acidimicrobiia,NA,NA,NA,0.000286972,3.13E-05,0.000238198
ASV109,4.15885428,4.02E-06,3.69E-05,Root-Shoot,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,7.33E-05,0.002924737,0.000213555
ASV1090,3.551543273,0.049090476,0.137394685,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,0.000683842,9.80E-05,1.59E-05
ASV1091,-2.897820928,0.046871738,0.132479812,Root-Shoot,Bacteria,Bacteroidetes,Bacteroidia,NA,NA,NA,3.25E-06,8.45E-05,0.00026843
ASV1092,1.090457314,0.424806495,0.613292066,Root-Shoot,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,Ohtaekwangia,0,0.000228319,7.68E-05
ASV1093,-8.808087755,NA,NA,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,1.51E-05,4.38E-06,0.000256602
ASV1094,0.395434473,0.783150001,0.884758056,Root-Shoot,Bacteria,Chloroflexi,KD4-96,NA,NA,NA,0.000525472,8.52E-05,4.52E-05
ASV1095,3.152799671,0.003814865,0.01693524,Root-Shoot,Bacteria,Acidobacteria,Blastocatellia_(Subgroup_4),Blastocatellales,Blastocatellaceae,JGI_0001001-H03,0.000154681,0.000237479,3.14E-05
ASV1096,-2.527800652,0.200266256,0.377877461,Root-Shoot,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,0,6.08E-05,0.000305643
ASV1097,1.729929007,0.10328938,0.239045112,Root-Shoot,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,NA,0,0.000245027,5.98E-05
ASV1098,-9.596068962,2.01E-08,2.53E-07,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Alkanibacter,1.35E-06,1.10E-05,0.000342739
ASV1099,-10.94040727,5.86E-11,1.03E-09,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Panacagrimonas,0,2.15E-06,0.00042324
ASV1100,-0.846192743,0.567261558,0.727732687,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylotenera,0.000130459,0.000143669,0.000160632
ASV1101,2.06542547,0.214224041,0.395880497,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,NA,1.93E-06,0.000237677,7.81E-05
ASV1102,4.913328576,0.000313565,0.001942448,Root-Shoot,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,NA,0,0.000293379,1.45E-05
ASV1103,-3.781497807,NA,NA,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,0,7.71E-06,0.000257558
ASV1106,2.916428271,0.004669232,0.020121424,Root-Shoot,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella,0,0.000234408,5.61E-05
ASV1108,5.492220947,1.70E-05,0.000139331,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Candidatus_Ovatusbacter,0,0.000295841,0
ASV1109,-1.137157048,0.065412622,0.170702103,Root-Shoot,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,0.000600125,4.32E-05,7.29E-05
ASV111,-6.25142982,2.06E-17,7.02E-16,Root-Shoot,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,0.00019774,0.000126728,0.003653048
ASV1110,2.646690008,0.024333841,0.079327398,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,0,0.000237688,5.77E-05
ASV1111,-2.921951454,0.022034584,0.073079954,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ellin6055,3.87E-05,7.40E-05,0.000267525
ASV1112,-2.886281165,0.008805179,0.034359533,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,0.000638192,2.85E-05,0.000139088
ASV1113,-0.606190208,0.59127376,0.746826359,Root-Shoot,Bacteria,Chloroflexi,JG30-KF-CM66,NA,NA,NA,0.000871948,4.14E-05,4.72E-05
ASV1114,1.910714522,0.059654097,0.159201537,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA,0.000108933,0.000211542,5.11E-05
ASV1115,8.082014852,0.000112742,0.000771166,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0,0.000242846,2.44E-05
ASV1117,-2.123036196,0.04966821,0.138635232,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,8.68E-05,6.67E-05,0.00027955
ASV1118,-1.052708894,0.147264777,0.309292037,Root-Shoot,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,0.000624715,4.34E-05,5.35E-05
ASV1121,5.048953432,0.000401163,0.002408379,Root-Shoot,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,4.79E-05,0.000283612,5.70E-06
ASV1122,0.64644972,0.559085978,0.721172718,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,0,0.000200149,0.000143327
ASV1123,0.055347447,0.973800709,1,Root-Shoot,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA,0.000636375,6.82E-05,5.87E-05
ASV1124,-0.686119293,0.500590447,0.67540397,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA,0.000915661,4.73E-05,5.16E-05
ASV1125,-6.35887289,1.76E-15,5.08E-14,Root-Shoot,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,NA,NA,3.36E-05,4.82E-06,0.000349016
ASV1128,1.362905493,0.033769458,0.102622516,Root-Shoot,Bacteria,Planctomycetes,OM190,NA,NA,NA,0.000274341,0.000195233,5.77E-05
ASV1129,1.462206862,0.356897474,0.553800868,Root-Shoot,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,0.000524344,5.17E-05,8.69E-06
ASV113,-0.612925815,0.138685674,0.295793901,Root-Shoot,Bacteria,Latescibacteria,NA,NA,NA,NA,0.005778189,0.000623982,0.000843359
ASV1130,4.588026102,0.001734966,0.008753807,Root-Shoot,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,0,0.000273758,7.52E-06
ASV1131,10.2977001,5.08E-07,5.30E-06,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Collimonas,4.04E-05,0.000243489,3.39E-05
ASV1132,-38.38397908,7.10E-35,9.04E-33,Root-Shoot,Bacteria,Proteobacteria,NA,NA,NA,NA,0,0,0.000286141
ASV1133,-1.696609144,0.205267764,0.384973001,Root-Shoot,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,0.000956452,3.11E-05,5.81E-05
ASV1134,-3.699381072,0.000230005,0.001460811,Root-Shoot,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,0,4.63E-05,0.000316717
ASV1135,-30.89412701,NA,NA,Root-Shoot,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,NA,2.54E-05,0,0.000334478
ASV1137,-2.098668623,0.068696035,0.17720689,Root-Shoot,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,NA,NA,0.000243964,5.02E-05,0.000188464
ASV1139,4.241972103,0.000225433,0.00143354,Root-Shoot,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Lacunisphaera,0,0.000268168,2.94E-05
ASV114,1.620585934,2.28E-10,3.65E-09,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,0.000451761,0.002384667,0.000684371
ASV1140,1.886471717,0.077579354,0.193957793,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia,1.38E-05,0.000222142,5.92E-05
ASV1141,-1.61932136,0.485748323,0.663454845,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,1.35E-05,1.00E-04,0.00023218
